Studio,Status,Exclusivity,Game Identifier,Game Name,EN,CN,TH,VN,ID,KR,MY,PTBR,ESLA,RU,TR,BN,HI,RTP,Volatility,Highest Payout,Bonus,Display,Game Type,Game Originated,Gamification,Game Description,GAME DEMO,Brochure EN,Brochure CN,Game Assets,PSD File,Game Design Document,"Localisation
(Translation Progress)",UKGC Certification,GLI 19 Certification,PAGCOR Certification,"
Global Labs
Certification (Peru)"
KM,Launched,All,monkey-king-roulette,MONKEY KING ROULETTE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,97.00%,HIGH,44X,150,"Portrait, Landscape","Next Gen, Casual, Roulette",China,,Monkey King Roulette transforms the roulette into an experience inspired by Journey to the West. Select iconic symbols and win by matching their chosen symbol with the winning symbol. Watch exciting fights between iconic characters when bonus rounds are activated!,https://demo8.kingmidasdev.net/games/monkey-king-roulette?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/monkey-king-roulette_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/monkey-king-roulette_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/monkey-king-roulette_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/monkey-king-roulette_psd.zip,Monkey King Roulette,Table Games Translations Masterlist,CERTIFIED,PENDING,CERTIFIED,PENDING
KM,Launched,All,dota-hi-lo,DOTA HI-LO,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,96.00%,HIGH,100X,2,"Portrait, Landscape","Next Gen, Table, Dice, Casual",Western,,"Dota Hi-Lo is a unique high or low (hi-lo) dice game derived from our popular Thai Hi-Lo game. Defeated enemies turn into dice rolls, and players win if they bet on the predicted results correctly.",https://demo8.kingmidasdev.net/games/dota-hi-lo?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/dota-hi-lo_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/dota-hi-lo_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/dota-hi-lo_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/dota-hi-lo_psd.zip,Dota Hilo,Table Games Translations Masterlist,PENDING,PENDING,CERTIFIED,PENDING
KM,Launched,All,cash-rocket,CASH ROCKET,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,96.55%,HIGH,200X,-,"Portrait, Landscape","Next Gen, Instant, Crash, Casual",Western,,"Cash Rocket offers a thrilling multiplayer experience where participants predict the distance a rocket will travel. Prior to liftoff, players place their bets and strategically eject before explosion to secure their earnings.",https://demo8.kingmidasdev.net/games/cash-rocket?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/cash-rocket_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/cash-rocket_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/cash-rocket_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/cash-rocket_psd.zip,Cash Rocket,Table Games Translations Masterlist,PENDING,CERTIFIED,CERTIFIED,IN PROGRESS
KM,Launched,All,mine-sweeper,MINESWEEPER,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,96.00%,HIGH,2330X,1.5,"Portrait, Landscape","Next Gen, Instant, Mines, Casual",Western,,"In Minesweeper, navigate a 5x5 field filled with treasure chests and bombs. Uncover treasure tiles while avoiding explosives. Choose to continue for bigger winnings or cash out after successful guesses. Earn treasure boosts with each opened tile, up to 5 stacks. Increase your winnings with more tiles uncovered!",https://demo8.kingmidasdev.net/games/mine-sweeper?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/mine-sweeper_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/mine-sweeper_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/mine-sweeper_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/mine-sweeper_psd.zip,Minesweeper,Table Games Translations Masterlist,CERTIFIED,CERTIFIED,CERTIFIED,IN PROGRESS
KM,Launched,All,heist,HEIST,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,97.00%,MEDIUM,62.31X,+16%,"Portrait, Landscape","Next Gen, Instant, Mines, Casual",Western,,"Enter Heist, where every move is a game of chance. Advance to the highest floor by guessing the correct windows without triggering the dreaded police window. The choice is yours - continue playing to increase your winnings, or cash out and collect your current rewards after each successful guess, all the way to the top floor. Each opened window also unlocks the chance to earn a treasure boost! Watch your winnings multiply as these boosts stack up (up to 5 stacks).",https://demo8.kingmidasdev.net/games/heist?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/heist_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/heist_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/heist_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/heist_psd.zip,Heist,Table Games Translations Masterlist,CERTIFIED,CERTIFIED,CERTIFIED,IN PROGRESS
KM,Launched,All,marble-racing,KM MARBLE KNOCKOUT,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,97.00%,LOW,5X,2,"Portrait, Landscape","Next Gen, Virtual, Sports",Western,,Marble Knockout is a fast-paced elimination race game featuring 4 teams of 16 marbles. Navigate through a challenging obstacle course that can slow you down or eliminate you from the race. Choose your favourite team and predict who will survive and win the thrilling race to the finish line.,https://demo8.kingmidasdev.net/games/marble-racing?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/km-marble-knockout_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/km-marble-knockout_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/km-marble-knockout_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/km-marble-knockout_psd.zip,Marble Racing,Table Games Translations Masterlist,CERTIFIED,PENDING,CERTIFIED,IN PROGRESS
KM,Launched,All,treadmill-racing,KM VIRTUAL TREADMILL RACING,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,97.36%,MEDIUM,7.5X,5,"Portrait, Landscape","Next Gen, Virtual, Sports, Casual",Western,,KM Virtual Treadmill Racing features 8 karts in a thrilling elimination race on an accelerating treadmill. Players may stand a chance to activate the Double Lightning Bonus for bigger rewards! Choose a kart and aim for victory!,https://demo8.kingmidasdev.net/games/treadmill-racing?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/km-virtual-treadmill-racing_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/km-virtual-treadmill-racing_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/km-virtual-treadmill-racing_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/km-virtual-treadmill-racing_psd.zip,Treadmill Racing,Table Games Translations Masterlist,CERTIFIED,CERTIFIED,CERTIFIED,IN PROGRESS
KM,Launched,All,animal-racing,KM VIRTUAL ANIMAL RACE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,97.00%,LOW,4.25X,2,"Portrait, Landscape","Next Gen, Virtual, Sports, Casual",Western,,"Introducing KM Virtual Animal Race, where adorable animals tumble and dart towards the finish line. Place bets on your favourite animal and unlock a chance to trigger a Lucky Animal 2x bonus. Experience the thrilling race track, where obstacles challenge the animals on their path to victory!",https://demo8.kingmidasdev.net/games/animal-racing?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/km-virtual-animal-race_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/km-virtual-animal-race_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/km-virtual-animal-race_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/km-virtual-animal-race_psd.zip,Animal Racing,Table Games Translations Masterlist,PENDING,CERTIFIED,CERTIFIED,IN PROGRESS
KM,Retired,All,jackpot-jump,JACKPOT JUMP,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,96.94%,Low,4.5X,2X,"Portrait, Landscape","Next Gen, Instant, Mines, Casual",Korea,,"Jackpot Jump delivers heart-pounding excitement in every round! In this round-based game of chance, all you need to do is pick a color—red, blue, or green. Each color-coded team will leap across glass tiles in a daring race toward the jackpot. The team that gets closest to the prize wins! It’s simple, social, and full of suspense. Place your bet, cheer your team on, and claim your share of the rewards!

在全新改版的《大奖跳跃》中，体验简单又刺激的团队竞速玩法！只需选择 红、蓝或绿 战队，即可加入这场玻璃砖上的跳跃对决。哪支队伍离终极奖金最近，哪队就能赢取奖励！无需复杂策略，只需押注你的战队，享受紧张又欢乐的社交竞猜体验。",https://demo8.kingmidasdev.net/games/jackpot-jump?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/jackpot-jump_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/jackpot-jump_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/jackpot-jump_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/jackpot-jump_psd.zip,Jackpot Jump,Table Games Translations Masterlist,PENDING,CERTIFIED,CERTIFIED,IN PROGRESS
KM,Retired,All,penguin-panic,PENGUIN PANIC,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,97.00%,MEDIUM,200X,-,"Portrait, Landscape","Next Gen, Instant, Mines, Casual",Western,,"Penguin Panic is a social multiplayer game that puts a fun twist on the classic minesweeper-style gameplay. Place your bets on an ice tile and outlive your opponents for a chance to become the ultimate Penguin Ace! As more players join the fray, the competition escalates, with everyone vying for a share of the prize pool. Will you be the last penguin standing?",https://demo8.kingmidasdev.net/games/penguin-panic?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/penguin-panic_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/penguin-panic_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/penguin-panic_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/penguin-panic_psd.zip,Penguin Panic,Table Games Translations Masterlist,PENDING,CERTIFIED,CERTIFIED,IN PROGRESS
